"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA0634_at",4.08707658184212,8.41630381999418,48.1359362466596,8.60033269707413e-12,2.7975476593453e-08,17.0652715881878
"PA0635_at",4.47095984249723,9.51831011852477,47.5920858833367,9.48321240456034e-12,2.7975476593453e-08,16.9964425672583
"PA0623_at",4.16572705616789,10.8381708638443,44.3550271482073,1.73772408059193e-11,3.40281729557176e-08,16.5572545428831
"PA0618_at",4.6897191571379,9.51811642442602,41.9813898311882,2.78771961991377e-11,3.40281729557176e-08,16.1998331418848
"PA0638_at",4.00782539207658,9.36215111349249,41.8162361784629,2.88374347082352e-11,3.40281729557176e-08,16.1737443607763
"PA0622_at",4.73326225305281,9.83829415346178,38.5449818140733,5.80466259701559e-11,5.67325000235758e-08,15.6209862144973
"PA0624_at",4.29550266278858,9.54451228734042,37.885836293718,6.73097457906832e-11,5.67325000235758e-08,15.5007129916025
"PA0617_at",4.71299676770033,9.79297176818072,37.1829874610214,7.90447356112992e-11,5.82954925133332e-08,15.3689085797536
"PA0620_at",4.45444401976262,9.74454264214054,34.6072191058464,1.46319413186335e-10,9.59205041999307e-08,14.8522022508585
"PA0637_at",4.27385382303718,8.55773962757659,34.1008946800661,1.66026324863122e-10,9.60101711448311e-08,14.7439662396203
"PA0619_at",4.60609411247902,9.87270447302599,33.8028319485962,1.79002013998838e-10,9.60101711448311e-08,14.6791601854024
"PA0628_at",3.96008304173015,9.52380396566544,28.6576342457785,7.35778437309809e-10,3.59524352093865e-07,13.4171417685133
"PA0639_at",4.09702615895983,9.31663040475968,28.4111071369809,7.9217230122377e-10,3.59524352093865e-07,13.3490410189658
"PA0627_at",4.34204050831962,10.0010579970035,27.8082955707207,9.51498806231566e-10,4.0098878262616e-07,13.1791937876166
"PA0614_at",4.21773924285529,10.2594654769539,27.0389815629568,1.20912765914159e-09,4.75590212595692e-07,12.9553246237914
"PA0629_at",3.87898057176645,9.60437431048816,26.6697183445646,1.35973994969454e-09,5.01404106449861e-07,12.8449257353141
"PA0643_at",2.82610633732822,8.18065197982436,25.9807528125955,1.70001988538365e-09,5.90006901397857e-07,12.6336224961357
"PA0621_at",4.11831232338754,10.5427769188739,25.1832635151369,2.21778661584217e-09,7.26941168526043e-07,12.3799968645746
"PA0631_at",3.73533252097343,9.43567561437042,25.0058211443392,2.35557046624048e-09,7.3146661846415e-07,12.322192822326
"PA0641_at",3.52386037417272,8.87988648596584,21.5330701831605,8.40293901408227e-09,2.47886700915427e-06,11.0783973402822
"PA0615_at",4.30816521883544,9.06363245294798,20.3896102362725,1.33461635775999e-08,3.74562056407685e-06,10.6156950037959
"PA0626_at",4.37190529872513,8.83934389118929,20.2804946838024,1.39667207474052e-08,3.74562056407685e-06,10.5699782608867
"PA0632_at",3.7119797251105,8.57794485782521,19.4161795912393,2.01906662707681e-08,5.17934482597964e-06,10.1976195348662
"PA0630_at",3.46897070471457,9.69209302517328,18.7426111312436,2.72080799240772e-08,6.68865298133565e-06,9.89419851568277
"PA0633_at",4.38122450624446,10.4169527841741,18.6054023409046,2.89489581607671e-08,6.83195412594103e-06,9.83089421764278
"PA0644_at",3.31372381334951,8.10623003867191,18.1118780860455,3.63169862409359e-08,8.24116226236622e-06,9.59883484512099
"PA0616_at",3.96184700304127,10.0998120449413,18.0299583745528,3.77314304711464e-08,8.2450162881394e-06,9.55963987322137
"PA0636_at",3.7386685134398,10.2695871681699,17.7527300977073,4.29928169252925e-08,9.05223985110563e-06,9.42553163395806
"PA0640_at",3.14766341173883,8.25529173087188,17.6805154217277,4.44940602850955e-08,9.05223985110563e-06,9.39022102008324
"PA0645_at",2.87847989948209,8.1714469695973,16.7694720384064,6.9420907416184e-08,1.36527784585162e-05,8.9307930253908
"PA1156_nrdA_at",3.22913944721699,9.67309128425116,16.651650011693,7.36542057862665e-08,1.4018058520612e-05,8.86941650848927
"PA3743_trmD_at",2.27591541318676,11.0116927230166,14.8106922425963,1.96250883199046e-07,3.58112741527667e-05,7.84588037361226
"PA0625_at",4.02174577968032,9.09897246708383,14.7744355518905,2.00300346956153e-07,3.58112741527667e-05,7.82441282698153
"PA0610_prtN_at",3.42857425564248,10.8586702563797,14.2867129149915,2.64856646596324e-07,4.59604180858326e-05,7.53026532319902
"PA0648_at",3.07496569159063,8.95240931787372,13.8880721167351,3.35015965013652e-07,5.64741198165871e-05,7.282150094049
"PA3744_rimM_at",2.63645989187331,11.022026870576,13.7677215103369,3.60087447753255e-07,5.90143317151168e-05,7.20582866781762
"PA0612_i_at",4.45913624641983,10.5375717921205,13.5131539161031,4.20285080311964e-07,6.70184317254212e-05,7.04216238354615
"PA3866_at",3.23264112515116,8.51924419924319,13.2207720025163,5.03617492017581e-07,7.8193242181677e-05,6.85034520011019
"PA0910_at",3.48456234086122,8.73340203215769,12.6875576270994,7.07202923102608e-07,0.000106987108879625,6.48947694516509
"PA3617_recA_at",2.75785389223055,11.4880393457984,12.3984390068696,8.54796275283444e-07,0.000125027367245958,6.2875514030023
"PA2027_at",2.77190898556919,10.1715171000184,12.3713274627335,8.70303547499756e-07,0.000125027367245958,6.26838232868165
"PA0911_at",3.0588036446765,9.4481722984193,12.3376121757102,8.90025326157669e-07,0.000125027367245958,6.24448731464183
"PA0613_at",3.07042563300935,11.369567851273,12.2414996234708,9.49023022198654e-07,0.000130214786766792,6.17602156958954
"PA1150_pys2_at",2.59760553630329,9.21187684780936,11.6585855217233,1.41472942413215e-06,0.000189702354599538,5.74939251891441
"PA2971_at",1.57169169026715,11.0072418495481,11.0008779134003,2.26910779014254e-06,0.000297505243596466,5.24308729074021
"PA2970_rpmF_at",1.38718265274513,10.214646202619,10.8101113614992,2.61453168240095e-06,0.000335342107090557,5.09095666731801
"PA0909_i_at",2.81860445920549,8.35357662930198,10.6793069198188,2.88497529282251e-06,0.000362156472928783,4.98520908998866
"PA4317_at",1.17823480556902,9.71132928801394,10.6243249662511,3.00778944581257e-06,0.000369707452714461,4.94040478724932
"PA3745_rpsP_at",2.66918858222409,11.1204489536067,10.3279585017723,3.77804623583355e-06,0.000454907607988122,4.69519936796777
"PA2624_idh_at",1.6115572527811,10.2415903410913,10.288284531479,3.89681043607161e-06,0.000459823631456451,4.66189172712509
"PA0083_at",1.73846193802585,10.1535216970819,10.2577874806107,3.99091545190683e-06,0.000461694140514712,4.63620960918273
"PA3008_at",2.74302720810322,9.97120176156006,10.0678770733006,4.63671654140225e-06,0.000526088992197563,4.47472168874869
"PA3166_pheA_at",0.892348756365966,9.56095737321007,9.94124505704042,5.13137322144751e-06,0.000571228339746043,4.36552169600651
"PA3615_at",-1.06459112186745,8.77731321687715,-9.69374479341673,6.27591668023255e-06,0.000685702007655037,4.14848320485718
"PA2744_thrS_at",0.933635613020673,10.1956748550664,9.43143194800269,7.80631753595834e-06,0.000829415250292104,3.91307854794757
"PA0646_at",3.02139691165755,8.50498109282126,9.42141768668527,7.87241593497591e-06,0.000829415250292104,3.90397908403046
"PA0807_at",2.92603479890444,8.98769297708222,9.12381659867126,1.01495261576243e-05,0.00105056498824533,3.62968046671257
"PA3413_at",1.63457178168576,11.2187188650253,8.77218057754272,1.38272568750091e-05,0.00140656578556127,3.29557074518051
"PA3007_lexA_at",2.45844016774027,11.8275881966093,8.74516743384579,1.41655821500294e-05,0.00141655821500294,3.269440344485
"PA0579_rpsU_at",1.64119142632406,10.9223917780795,8.71551341851304,1.4547546113692e-05,0.00142739267598677,3.24067763890563
"Pae_tRNA_Val_f_at",1.44195066289758,11.2639854235568,8.69955573021247,1.4757788683931e-05,0.00142739267598677,3.22516579880516
"PA2781_at",1.39802522597566,11.1929659195729,8.60079026730705,1.61360855494504e-05,0.00153553072164125,3.12862993605634
"PA2853_oprI_at",-1.351128104828,12.9526049168756,-8.38289332812679,1.97079443374649e-05,0.00184566462842925,2.91237119799296
"PA3769_guaA_at",1.19326476894157,9.45731895114998,8.35103773312455,2.02996896034239e-05,0.0018491374940588,2.88037017922803
"PA3770_guaB_at",1.93735995722102,9.65636086767838,8.34722312302812,2.03718537481054e-05,0.0018491374940588,2.87653148834208
"PA2741_rplT_at",1.34039251400345,11.1615664429097,8.26516116390227,2.19949013269405e-05,0.00196621087619619,2.79360417373304
"PA3661_at",1.63230853510813,9.46924784303563,8.05133867935825,2.6935225268058e-05,0.00237190789673944,2.5743618298904
"PA3903_prfC_at",0.845710366728548,8.75873598228435,8.03406764579526,2.73847606527101e-05,0.00237603070369103,2.55645021788171
"PA0529_at",0.884482567662793,8.79225155531221,7.80193654901002,3.43020884290082e-05,0.00293307712653839,2.31269942251719
"PA4568_rplU_at",1.35443025145846,11.9722040880648,7.73443375875444,3.66597281328415e-05,0.00308989137119664,2.24074950287936
"PA4763_recN_at",2.08157185695491,10.0112260236139,7.65018484870012,3.9856053133381e-05,0.00331198188009786,2.15026220591722
"ig_884172_884799_at",1.25247654934153,7.80987024327675,7.56755128053026,4.32915632822273e-05,0.00354750310229363,2.06075921837352
"PA2780_at",1.16373831098957,11.4760416007936,7.45549787863623,4.84817996816803e-05,0.00391839202906731,1.93818701650574
"PA0647_at",2.05788553773154,7.66386855098869,7.34630246541229,5.42053951943865e-05,0.00427195533831525,1.81738840963729
"PA0578_at",1.46466110861817,10.9962734034201,7.34452484094234,5.4304517012482e-05,0.00427195533831525,1.81541072984149
"PA4853_fis_at",1.27718266209842,10.1543270425003,6.93363533287369,8.35989110706447e-05,0.00648991546469479,1.34844408423288
"PA3746_ffh_at",1.22707702691239,9.32395923875207,6.85895373634904,9.05994540884383e-05,0.00690274615710138,1.2614186896767
"PA0964_at",1.07821631999407,9.79167927632101,6.85227030166183,9.12566441108318e-05,0.00690274615710138,1.25359758953897
"PA1639_at",1.69154723251649,9.31386048480642,6.82310362490753,9.41865079482263e-05,0.00700076613755989,1.21940236671451
"PA4108_at",-0.609739849249735,9.13972110502995,-6.81590270818997,9.49256425431849e-05,0.00700076613755989,1.21094396422655
"PA3050_pyrD_at",0.804702300446799,9.95137090803953,6.79456019299218,9.71539767263574e-05,0.00707664768747541,1.18583713210875
"PA0088_at",0.738596990614139,8.11234870438297,6.77650331497835,9.90841165247978e-05,0.00712922301824765,1.1645517919932
"PA2288_r_at",2.80985191213344,10.2236936603054,6.74704287843907,0.000102324133423125,0.00727364321923417,1.12973784749495
"PA4567_rpmA_at",1.0827461660913,12.0054441277105,6.72415285700175,0.000104921788748676,0.00736950659068082,1.10261430670945
"PA2929_at",1.21879263017484,9.21254522058084,6.67112494767932,0.000111221857992357,0.00772010543711651,1.0395291943856
"PA4530_at",-0.662210705016919,9.44757583232713,-6.64033413195503,0.000115069570664055,0.00789430775485959,1.00273784076669
"PA3108_purF_at",1.34834695412773,10.2519697576691,6.47319916497235,0.000138671473860465,0.00940415742272116,0.800948535564075
"PA4852_at",1.36561821545473,11.0306772779135,6.38716071923156,0.000152850743539805,0.0102479475782369,0.695682844090854
